ec5_uuid;created_at;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight
58d0c47a-f3eb-4551-ab45-494e50de9584;2025-03-11T05:08:10.000Z;14:07;NO;GM;LN;TK;;;RS;;NR;;;RS;;NY;;;RS;;MN;LN;;GM;MN;;TK;;red
e4e4114b-d40b-4f7f-bf83-0719c3d69454;2025-03-11T05:09:10.000Z;14:09;Yes;GM;LN;TK;;;RS;;NR;;;RS;;NY;;;RS;;MN;LN;;GM;MN;;TK;;green
47302283-79ba-4ff2-a736-a5dca3b2eef4;2025-03-11T05:11:11.000Z;14:11;Yes;GM;LN;TK;;;RS;;NR;;;RS;;NY;;;RS;;MN;LN;;GM;MN;;TK;;green
57d0b794-3fd2-4a42-a20e-76275de15171;2025-03-11T05:13:12.000Z;14:13;Yes;GM;LN;TK;;;RS;;NR;;;RS;;NY;;;RS;;MN;LN;;GM;MN;;TK;;green
59541a8a-020d-40fe-8609-57915d33f669;2025-03-11T05:15:13.000Z;14:15;Yes;GM;LN;TK;;;RS;;NR;;;RS;;NY;;;RS;;MN;LN;;GM;MN;;TK;;green
77e5378a-729d-433e-bc6e-c5ea9fdb72ab;2025-03-11T05:18:09.000Z;14:17;NO;GM;LN;TK;;;RS;;;;;RS;;;;;RS;;MN;LN;;GM;MN;;TK;;red
f428531a-bc8c-4802-bab9-fc7259cea67f;2025-03-11T05:19:20.000Z;14:19;Yes;GM;LN;TK;;;RS;;;;;RS;;;;;RS;;MN;LN;;GM;MN;;TK;;green
bd55aeb3-4a82-4054-8894-bb634fcfb797;2025-03-11T05:21:17.000Z;14:21;Yes;GM;LN;TK;;;RS;;;;;RS;;;;;RS;;MN;LN;;GM;MN;;TK;;green
f32a21d2-4853-4a8d-8290-187592cadb4d;2025-03-11T05:23:55.000Z;14:23;NO;GM;LN;TK;;;GM;NR;;;;GM;NY;;;;RS;;MN;LN;;GM;MN;;TK;;red
cd842486-c470-4648-8f23-7c9f998d2d9a;2025-03-11T05:25:12.000Z;14:25;Yes;GM;LN;TK;;;GM;NR;;;;GM;NY;;;;RS;;MN;LN;;GM;MN;;TK;;green
73223e6b-2bd2-49e3-ba92-4ac37e377d0e;2025-03-11T05:27:14.000Z;14:27;Yes;GM;LN;TK;;;GM;NR;;;;GM;NY;;;;RS;;MN;LN;;GM;MN;;TK;;green
fa398084-a6b1-49ee-94b2-a0b321de3b2e;2025-03-11T05:30:08.000Z;14:29;NO;GM;LN;TK;;;SD;;NR;;;SD;;NY;;;RS;;MN;LN;;GM;MN;;TK;;
4bb1be29-97ba-4406-abbe-8a49705eb935;2025-03-11T05:32:01.000Z;14:31;NO;GM;LN;TK;;;M;;;NR;;M;;;NY;;RS;;MN;LN;;GM;MN;;TK;;
897f1920-008b-4788-a137-f9da8ee29b56;2025-03-11T05:33:51.000Z;14:33;NO;GM;LN;TK;;;RS;;;;;RS;;;;;RS;;MN;LN;;GM;MN;;TK;;
afb11974-c1fd-434b-8f11-bd0038e9e41e;2025-03-11T05:35:45.000Z;14:35;NO;GM;LN;TK;;;RS;;;;;M;;;;;M;;MN, LN;;;GM;MN;TK;;;
8e15b6b8-baa0-4a48-be36-bf6f1a825d89;2025-03-11T05:37:52.000Z;14:37;NO;GM;LN;;;;RS;;;;;RS;;;;;M;;;;;GM;MN;;;;
3bbcea78-a4b4-41a5-bae5-752c1283fccb;2025-03-11T05:39:41.000Z;14:39;NO;M;;LN;;;M;;;;;RS;;;;;RS;;;;;RS;;MN;;;
f6ab0def-f52c-486f-8c92-8cf62f6749a1;2025-03-11T05:41:56.000Z;14:41;NO;GG;LN;;;;RS;;;;;RS;;;;;E;;;;;GR;MN;;;;
