ec5_uuid;created_at;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_LN_Behavior;23_Contact;24_AR;25_3;26_Notes;28_NR_Behavior;29_Contact;30_AR;31_3M;32_Notes;34_MN_Behavior;35_Contact;36_AR;37_3M;38_Notes;40_NY_Behavior;41_Contact;42_AR;43_3M;44_Notes
5f4b277d-bbf3-461b-abe7-f4efa11ffa49;2025-04-26T00:49:18.000Z;09:48;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;AG TOWARD LN;;;;;
4a308e05-a0fd-4dad-941f-46c3c7947ee8;2025-04-26T00:50:47.000Z;09:50;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;;;;;
79775ab3-2b39-42ae-8515-0669aa358a8d;2025-04-26T00:54:51.000Z;09:54;;;;;;;;;;;;DS;;;;;PL;MN;;;;;;;;;PL;LN;;;;;;;;
db90d2af-6f38-4952-970c-d8f98f8fa937;2025-04-26T00:56:45.000Z;09:56;;;;;;;;;;;;PL;MN;;;;PL;NR;;;;PL;LN;;;;PL;NH;;;;;;;;
8a8b74a5-a11b-428b-a922-dc1ff677620a;2025-04-26T00:59:16.000Z;09:58;;;;;;;;;;;;PL;NR, MN;;;;;;;;;PL;;;MN, NH;;PL;NH, NR;;;;;;;;
d6984ed7-4480-4de7-95c9-130112c831a6;2025-04-26T01:46:46.000Z;10:46;;;;;;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;
4f23296d-bcc4-4caa-b766-5b25dee59847;2025-04-27T00:37:25.000Z;09:36;;;;;;;;;;;;DS;;;;Pan hoot;;;;;;;;;;;;;;;;;;;;
4f23296d-bcc4-4caa-b766-5b25dee59847;2025-04-27T00:37:25.000Z;09:35;;;;;;;;;;;;DS;;;;Pan hoot;;;;;;DS;;;;;AG;;;;AG-Spited water towards cage a;;;;;
8bb2fd62-3af7-47c6-9c76-44bc7101754a;2025-04-27T05:15:06.000Z;14:14;;;;;;;;;;;;PL;;MN, NR;;;;;;;;PL;;NH, MN;;;PL;;NR, NH;;;;;;;
098aae89-c70f-44b9-8687-e838842cbed2;2025-05-04T01:10:38.000Z;10:10;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;;;;;
