ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
42b66c88-9431-4dc6-9158-9b2c36dee672;2025-04-27;1900-01-01 11:33:00;NO;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;red;693;693.0
30cf39f3-391e-46bd-bce7-f00e4759afe2;2025-04-27;1900-01-01 11:35:00;Yes;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;green;695;695.0
c75eacec-2202-43a7-a016-d2e9dd5fcf3a;2025-04-27;1900-01-01 11:38:00;Yes;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;green;698;697.0
f869464e-c5b6-403a-b701-1cc0db80f1c2;2025-04-27;1900-01-01 11:39:00;Yes;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;green;699;699.0
24f94ecb-9da1-470d-b014-c10af4c7c75c;2025-04-27;1900-01-01 11:42:00;Yes;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;green;702;701.0
98463c6d-0b06-42be-afbc-4b2dcaf1a3bd;2025-04-27;1900-01-01 11:43:00;Yes;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;green;703;703.0
a569c02a-fad3-41e0-b3de-a78375dbe502;2025-04-27;1900-01-01 11:45:00;Yes;RS;;;;;;RL;;;;;;RS;;;;;;RS;;;;;;green;705;705.0
95332c0a-3919-45ea-b982-e8defbd35560;2025-04-27;1900-01-01 13:18:00;NO;E;;;;;;E;;GG;MS;;;E;;SB;MS;;;E;;;SB, GG;;;;798;797.0
0ef2f94b-a6c1-491c-ba5a-4ca8c1e0cc7c;2025-04-27;1900-01-01 13:20:00;NO;RS;;;;;;M;;;;;;E;;;MS;;;E;;;GG;;;;800;799.0
83b9f0e8-98f5-483e-99d6-34524155efa9;2025-04-27;1900-01-01 13:22:00;NO;M;;;;;;E;;;;;;E;;;MS;;;E;;;GG;;;;802;801.0
