date,Ind1,phase,condition,group,trial,first_day,block_ID,partner,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra,play_amount,agg_amount
2025-05-01 00:00:00,MS,morn2,Crow,3,5,False,morn2_3_trial5_sec_cont,NY,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0
2025-05-01 00:00:00,NH,morn1,Crow,3,5,False,morn1_3_trial5_sec_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-05-01 00:00:00,NY,enrich,Crow,3,5,False,enrich_3_trial5_sec_cont,MS,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
2025-05-01 00:00:00,NY,morn2,Crow,3,5,False,morn2_3_trial5_sec_cont,MS,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0
2025-05-01 00:00:00,SB,enrich,Crow,3,5,False,enrich_3_trial5_sec_cont,NR,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
2025-05-01 00:00:00,SB,morn1,Crow,3,5,False,morn1_3_trial5_sec_cont,NR,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2025-05-01 00:00:00,SR,morn1,Crow,3,5,False,morn1_3_trial5_sec_cont,TN,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2025-05-01 00:00:00,ST,enrich,Crow,3,5,False,enrich_3_trial5_sec_cont,TK,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
2025-05-01 00:00:00,ST,morn1,Crow,3,5,False,morn1_3_trial5_sec_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-05-01 00:00:00,ST,morn2,Crow,3,5,False,morn2_3_trial5_sec_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3
2025-05-01 00:00:00,TK,enrich,Crow,3,5,False,enrich_3_trial5_sec_cont,TN,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,0
2025-05-01 00:00:00,TK,morn2,Crow,3,5,False,morn2_3_trial5_sec_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-05-04 00:00:00,GG,morn1,Crow,2,6,True,morn1_2_trial6_first_cont,MS,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2025-05-04 00:00:00,LN,enrich,Crow,2,6,True,enrich_2_trial6_first_cont,NR,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0
2025-05-04 00:00:00,MN,morn1,Crow,2,6,True,morn1_2_trial6_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-05-04 00:00:00,NH,enrich,Crow,2,6,True,enrich_2_trial6_first_cont,NR,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0
2025-05-04 00:00:00,NH,morn1,Crow,2,6,True,morn1_2_trial6_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-05-04 00:00:00,NR,enrich,Crow,2,6,True,enrich_2_trial6_first_cont,"LN, NH",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0
2025-05-04 00:00:00,NY,enrich,Crow,2,6,True,enrich_2_trial6_first_cont,"TK, SR",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,1
2025-05-04 00:00:00,NY,morn2,Crow,2,6,True,morn2_2_trial6_first_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4
2025-05-04 00:00:00,SB,morn2,Crow,2,6,True,morn2_2_trial6_first_cont,MS,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
2025-05-04 00:00:00,ST,morn2,Crow,2,6,True,morn2_2_trial6_first_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-05-04 00:00:00,TK,enrich,Crow,2,6,True,enrich_2_trial6_first_cont,TN,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
2025-05-04 00:00:00,TK,extra,Crow,2,6,True,extra_2_trial6_first_cont,TN,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
2025-05-04 00:00:00,TK,morn1,Crow,2,6,True,morn1_2_trial6_first_cont,TN,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1
2025-05-04 00:00:00,TK,morn2,Crow,2,6,True,morn2_2_trial6_first_cont,TN,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,3
2025-05-04 00:00:00,TN,extra,Crow,2,6,True,extra_2_trial6_first_cont,None,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
2025-05-04 00:00:00,TN,morn1,Crow,2,6,True,morn1_2_trial6_first_cont,ST,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2
2025-05-04 00:00:00,TN,morn2,Crow,2,6,True,morn2_2_trial6_first_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3
2025-05-05 00:00:00,ST,enrich,Crow,2,6,False,enrich_2_trial6_sec_cont,NY,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,2
2025-05-05 00:00:00,ST,morn1,Crow,2,6,False,morn1_2_trial6_sec_cont,TK,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2
2025-05-05 00:00:00,ST,morn2,Crow,2,6,False,morn2_2_trial6_sec_cont,"TK, SR",0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,1
2025-05-14 00:00:00,MZ,morn2,Playback,3,6,True,morn2_3_trial6_first_play,LN,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1
2025-05-15 00:00:00,MN,morn1,Playback,3,6,False,morn1_3_trial6_sec_play,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-05-15 00:00:00,MS,enrich,Playback,3,6,False,enrich_3_trial6_sec_play,None,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
2025-05-15 00:00:00,NY,morn2,Playback,3,6,False,morn2_3_trial6_sec_play,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-05-15 00:00:00,SB,enrich,Playback,3,6,False,enrich_3_trial6_sec_play,LN,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
2025-05-19 00:00:00,MN,morn1,Crow,2,7,True,morn1_2_trial7_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
2025-05-19 00:00:00,NH,morn1,Crow,2,7,True,morn1_2_trial7_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-05-20 00:00:00,MN,morn2,Crow,2,7,False,morn2_2_trial7_sec_cont,None,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-05-20 00:00:00,NH,morn2,Crow,2,7,False,morn2_2_trial7_sec_cont,None,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025-05-30 00:00:00,MN,enrich,Playback,2,7,True,enrich_2_trial7_first_play,None,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0
2025-05-30 00:00:00,NR,enrich,Playback,2,7,True,enrich_2_trial7_first_play,None,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0
2025-05-31 00:00:00,MN,enrich,Playback,2,7,False,enrich_2_trial7_sec_play,None,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0
2025-05-31 00:00:00,MN,morn1,Playback,2,7,False,morn1_2_trial7_sec_play,None,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2025-05-31 00:00:00,NR,enrich,Playback,2,7,False,enrich_2_trial7_sec_play,None,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0
2025-05-31 00:00:00,NR,morn1,Playback,2,7,False,morn1_2_trial7_sec_play,None,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
01-05-2025,LN,enrich,Crow,3,5,,enrich_3_trial5_sec_cont,SB,1,0,,,,,,,,,4,0
01-05-2025,MN,morn1,Crow,3,5,,morn1_3_trial5_sec_cont,None,0,1,,,,,,,,,0,4
01-05-2025,MS,enrich,Crow,3,5,,enrich_3_trial5_sec_cont,NY,1,0,,,,,,,,,2,0
01-05-2025,MS,morn2,Crow,3,5,,morn2_3_trial5_sec_cont,NY,1,0,,,,,,,,,16,0
01-05-2025,MZ,enrich,Crow,3,5,,enrich_3_trial5_sec_cont,NR,1,0,,,,,,,,,1,0
01-05-2025,MZ,morn1,Crow,3,5,,morn1_3_trial5_sec_cont,NR,1,0,,,,,,,,,1,0
01-05-2025,MZ,morn2,Crow,3,5,,morn2_3_trial5_sec_cont,None,0,1,,,,,,,,,0,3
