date,msm,A,B,C,total,n_ok,n_missing,n_duplicate,row_status,A_missing_day,B_missing_day,C_missing_day
2025-03-11,861,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,863,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,865,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,867,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,869,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,871,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,873,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,875,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,877,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,879,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,881,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,883,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,885,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-12,570,0.0,0.0,0.0,0.0,0,3,0,MISSING,5,5,5
2025-03-12,572,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,574,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,576,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,578,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,580,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,582,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,584,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,586,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,588,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,590,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,592,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,594,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,596,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,598,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,600,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,602,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,604,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,606,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,608,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,610,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,612,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,614,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,616,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,618,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,620,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,622,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,624,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,626,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,628,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,630,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,645,0.0,0.0,1.0,1.0,1,2,0,MISSING,5,5,5
2025-03-12,647,0.0,0.0,0.0,0.0,0,3,0,MISSING,5,5,5
2025-03-12,649,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,651,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,653,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,655,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,657,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,659,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,661,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,663,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,665,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,667,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,669,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,671,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,673,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,675,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,677,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,679,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,681,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,683,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,685,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,687,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,689,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,691,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,693,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,695,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,697,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,699,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,701,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,703,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,705,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,795,0.0,0.0,0.0,0.0,0,3,0,MISSING,5,5,5
2025-03-12,797,0.0,0.0,0.0,0.0,0,3,0,MISSING,5,5,5
2025-03-12,799,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,801,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,803,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,805,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,807,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,809,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,811,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,813,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,815,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,817,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,819,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,821,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,823,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,825,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
2025-03-12,827,1.0,1.0,1.0,3.0,3,0,0,OK,5,5,5
