ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,behaviour,qualifier,partner,notes,playing,aggression
R2J,,2025-04-17T00:00:00.000Z,581,A2,,morn1,morn1_A2,TK,D,S,,,0,1
Xvp,,2025-04-17T00:00:00.000Z,850,A2,,enrich,enrich_A2,TK,PL,,,,1,0
XCT,,2025-04-17T00:00:00.000Z,654,A2,,morn2,morn2_A2,TK,PL,,,,1,0
P8d,,2025-04-17T00:00:00.000Z,655,A2,,morn2,morn2_A2,TK,PL,,,,1,0
G3d,,2025-04-17T00:00:00.000Z,656,A2,,morn2,morn2_A2,TK,PL,,,,1,0
f7V,,2025-04-17T00:00:00.000Z,657,A2,,morn2,morn2_A2,TK,PL,,,,1,0
Tm2,,2025-04-17T00:00:00.000Z,658,A2,,morn2,morn2_A2,TK,PL,,,,1,0
sJ4,,2025-04-17T00:00:00.000Z,659,A2,,morn2,morn2_A2,TK,PL,,,,1,0
0Lp,,2025-04-17T00:00:00.000Z,660,A2,,morn2,morn2_A2,TK,PL,,,,1,0
w2B,,2025-04-17T00:00:00.000Z,661,A2,,morn2,morn2_A2,TK,PL,,,,1,0
D8M,,2025-04-17T00:00:00.000Z,703,A2,,morn2,morn2_A2,TK,PL,,,,1,0
AYP,,2025-04-17T00:00:00.000Z,704,A2,,morn2,morn2_A2,TK,PL,,,,1,0
8Qd,,2025-04-17T00:00:00.000Z,705,A2,,morn2,morn2_A2,TK,PL,,,,1,0
UaH,,2025-04-17T00:00:00.000Z,859,A2,,enrich,enrich_A2,TK,PL,,,,1,0
oog,,2025-04-17T00:00:00.000Z,860,A2,,enrich,enrich_A2,TK,PL,,,,1,0
Qb6,,2025-04-17T00:00:00.000Z,861,A2,,enrich,enrich_A2,TK,PL,,,,1,0
6By,,2025-04-17T00:00:00.000Z,862,A2,,enrich,enrich_A2,TK,PL,,,,1,0
HB9,,2025-04-17T00:00:00.000Z,864,A2,,enrich,enrich_A2,TK,PL,,,,1,0
Zky,,2025-04-17T00:00:00.000Z,865,A2,,enrich,enrich_A2,TK,PL,,,,1,0
3tG,,2025-04-17T00:00:00.000Z,866,A2,,enrich,enrich_A2,TK,PL,,,,1,0
hhi,,2025-04-22T00:00:00.000Z,585,A2,,morn1,morn1_A2,TK,D,S,,,0,1
uS8,,2025-04-26T00:00:00.000Z,629,A2,,morn1,morn1_A2,TK,D,S,,,0,1
2v3,,2025-04-27T00:00:00.000Z,649,A2,,morn2,morn2_A2,TK,PL,,,,1,0
Usz,,2025-04-27T00:00:00.000Z,651,A2,,morn2,morn2_A2,TK,D,S,,,0,1
qpQ,,2025-04-27T00:00:00.000Z,655,A2,,morn2,morn2_A2,TK,PL,,,,1,0
nxp,,2025-04-30T00:00:00.000Z,580,A2,,morn1,morn1_A2,TK,D,S,,,0,1
WZk,,2025-04-30T00:00:00.000Z,592,A2,,morn1,morn1_A2,TK,PL,,,,1,0
9FT,,2025-04-30T00:00:00.000Z,803,A2,,enrich,enrich_A2,TK,D,S,,,0,1
Rfk,,2025-04-30T00:00:00.000Z,598,A2,,morn1,morn1_A2,TK,PL,,,,1,0
wtq,,2025-04-30T00:00:00.000Z,599,A2,,morn1,morn1_A2,TK,PL,,,,1,0
Ffu,,2025-04-30T00:00:00.000Z,600,A2,,morn1,morn1_A2,TK,PL,,,,1,0
25O,,2025-04-30T00:00:00.000Z,601,A2,,morn1,morn1_A2,TK,PL,,,,1,0
mhx,,2025-01-05T00:00:00.000Z,678,A2,,morn2,morn2_A2,TK,D,S,,,0,1
Bbc,,2025-01-05T00:00:00.000Z,822,A2,,enrich,enrich_A2,TK,PL,,,,1,0
gGd,,2025-01-05T00:00:00.000Z,823,A2,,enrich,enrich_A2,TK,PL,,,,1,0
Yu9,,2025-01-05T00:00:00.000Z,824,A2,,enrich,enrich_A2,TK,PL,,,,1,0
X2m,,2025-01-05T00:00:00.000Z,825,A2,,enrich,enrich_A2,TK,PL,,,,1,0
nV7,,2025-01-05T00:00:00.000Z,826,A2,,enrich,enrich_A2,TK,PL,,,,1,0
11t,,2025-01-05T00:00:00.000Z,849,A2,,enrich,enrich_A2,TK,PL,,,,1,0
eH4,,2025-01-05T00:00:00.000Z,850,A2,,enrich,enrich_A2,TK,PL,,,,1,0
dQ3,,2025-01-05T00:00:00.000Z,851,A2,,enrich,enrich_A2,TK,PL,,,,1,0
78c,,2025-01-05T00:00:00.000Z,852,A2,,enrich,enrich_A2,TK,PL,,,,1,0
Zhq,,2025-04-05T00:00:00.000Z,697,A2,,morn2,morn2_A2,TK,D,S,,,0,1
n9u,,2025-05-14T00:00:00.000Z,576,A2,,morn1,morn1_A2,TK,PL,,,,1,0
1Fm,,2025-05-14T00:00:00.000Z,606,A2,,morn1,morn1_A2,TK,PL,,,,1,0
2TK,,2025-05-14T00:00:00.000Z,607,A2,,morn1,morn1_A2,TK,PL,,,,1,0
11E,,2025-05-14T00:00:00.000Z,608,A2,,morn1,morn1_A2,TK,PL,,,,1,0
5vN,,2025-05-14T00:00:00.000Z,609,A2,,morn1,morn1_A2,TK,PL,,,,1,0
Pm4,,2025-05-14T00:00:00.000Z,610,A2,,morn1,morn1_A2,TK,PL,,,,1,0
cVN,,2025-05-14T00:00:00.000Z,597,A2,,morn1,morn1_A2,TK,PL,,,,1,0
MST,,2025-05-14T00:00:00.000Z,598,A2,,morn1,morn1_A2,TK,PL,,,,1,0
es8,,2025-05-14T00:00:00.000Z,599,A2,,morn1,morn1_A2,TK,PL,,,,1,0
8zD,,2025-05-14T00:00:00.000Z,600,A2,,morn1,morn1_A2,TK,PL,,,,1,0
YR8,,2025-05-14T00:00:00.000Z,601,A2,,morn1,morn1_A2,TK,PL,,,,1,0
X7U,,2025-05-14T00:00:00.000Z,602,A2,,morn1,morn1_A2,TK,PL,,,,1,0
Fu7,,2025-05-15T00:00:00.000Z,653,A2,,morn2,morn2_A2,TK,D,S,,,0,1
3Bh,,2025-05-15T00:00:00.000Z,714,A2,,extra,_A2,TK,PL,,,,1,0
rOv,,2025-05-19T00:00:00.000Z,595,A2,,morn1,morn1_A2,TK,D,S,,,0,1
uZH,,2025-05-19T00:00:00.000Z,672,A2,,morn2,morn2_A2,TK,PL,,,,1,0
G6T,,2025-05-20T00:00:00.000Z,801,A2,,enrich,enrich_A2,TK,PL,,,,1,0
WtY,,2025-05-30T00:00:00.000Z,699,A2,,morn2,morn2_A2,TK,D,S,,,0,1
d5R,,2025-05-30T00:00:00.000Z,696,A2,,morn2,morn2_A2,TK,PL,,,,1,0
