ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MZ),MZ_Behavior,MZ_Contact,MZ_AR,MZ_3M,Ind_2(SB),SB_Behavior,SB_Contact,SB_AR,SB_3M,Ind_3(GG),GG_Behavior,GG_Contact,GG_AR,GG_3M,Ind_4(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,condition,trial,first_day,phase,group,block_ID
6f4dfd99-e2b7-45c3-9db6-9b58a5ba2b8f,04-05-2025,1900-01-01 11:13:00,673,673.0,MZ,RL,,,,SB,E,,,,GG,RL,,,,MS,E,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
1062c8e6-b83f-4bfe-9171-4a76086f52f7,04-05-2025,1900-01-01 11:16:00,676,675.0,MZ,M,,,,SB,RS,,,,GG,RL,,,,MS,M,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
c163bc40-dc02-40c4-9f2d-6060d216b647,04-05-2025,1900-01-01 11:18:00,678,677.0,MZ,M,,,,SB,M,,,,GG,RS,,,,MS,M,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
5bced421-6160-4960-81a9-b1d778ff2d0b,04-05-2025,1900-01-01 11:19:00,679,679.0,MZ,DS,,,,SB,M,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
7e886875-96d7-4091-9384-080e747cb3b5,04-05-2025,1900-01-01 11:22:00,682,681.0,MZ,RS,,,,SB,DS,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
081ad108-2cfe-4967-8e72-e9c1d600359e,04-05-2025,1900-01-01 11:23:00,683,683.0,MZ,DS,,,,SB,E,,,,GG,M,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
dcb0865c-b1cd-4aa9-afd1-c4c74c53096b,04-05-2025,1900-01-01 11:25:00,685,685.0,MZ,M,,,,SB,E,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
a7d1eb65-5285-4967-87cb-e898b8fc0e75,04-05-2025,1900-01-01 11:28:00,688,687.0,MZ,DS,,,,SB,E,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
820a0bc9-d43a-47ac-9357-c6e186f60679,04-05-2025,1900-01-01 11:29:00,689,689.0,MZ,M,,,,SB,E,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
f1341415-84e4-4f88-983d-99cafa90d542,04-05-2025,1900-01-01 11:31:00,691,691.0,MZ,M,,,,SB,E,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
6ab7c766-7db4-418e-a0ad-9b7965615d35,04-05-2025,1900-01-01 11:33:00,693,693.0,MZ,M,,,,SB,RS,,,MS,GG,RS,,,,MS,RS,,,SB,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
119e56fc-e0fc-4709-b027-68890c526157,04-05-2025,1900-01-01 11:35:00,695,695.0,MZ,RS,,,,SB,RS,,,MS,GG,RS,,,,MS,RS,,,SB,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
76c46a27-9ad1-4d08-bde6-384bae275379,04-05-2025,1900-01-01 11:37:00,697,697.0,MZ,M,,,,SB,RL,,,,GG,RS,,MS,,MS,RS,,GG,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
2537818e-b12a-457c-a463-c1cc3960e5c6,04-05-2025,1900-01-01 11:40:00,700,699.0,MZ,RS,,,"MS, GG",SB,RL,,,,GG,RS,,,"MZ, MS",MS,RS,,,"GG, MZ",Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
ea145d2c-ed45-42ad-a1bf-d6751efbd867,04-05-2025,1900-01-01 11:41:00,701,701.0,MZ,RS,,,,SB,RL,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
3dc4192f-11d9-4d12-824b-e2e5f6dc9e3e,04-05-2025,1900-01-01 11:43:00,703,703.0,MZ,M,,,,SB,RL,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
3f52455f-4071-4955-8fe3-3d602b869fe0,04-05-2025,1900-01-01 11:45:00,705,705.0,MZ,DS,,,,SB,RL,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
5517e869-9902-4666-b089-445f7ebe0e94,04-05-2025,1900-01-01 13:17:00,797,797.0,MZ,M,,,MS,SB,E,,,,GG,E,,,,MS,E,,,MZ,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
f2061252-848d-498f-a1a0-b5591e66441e,04-05-2025,1900-01-01 13:18:00,798,799.0,MZ,E,,MS,,SB,E,,,,GG,E,,,,MS,E,,MZ,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
09a23f9c-2946-4411-af11-d7b478799a37,04-05-2025,1900-01-01 13:21:00,801,801.0,MZ,M,,,,SB,E,,,,GG,E,,,,MS,E,,,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
e2b04fe6-258f-4d5a-9efe-943c612ca4e6,04-05-2025,1900-01-01 13:23:00,803,803.0,MZ,RS,,,,SB,E,,,,GG,E,,,,MS,E,,,,Crow,6,True,enrich,C_2,enrich_C_2_trial6_first_cont
