ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
da024aae-a13c-403e-9f44-dab1d5e33f91;2025-03-23;1900-01-01 13:41:00;NO;M;;;SB, GG;;;E;;;MZ;;;E;;;MZ;;;E;;;;;;;821;821.0
91fbc3b7-8a1d-4516-8750-dae7539328a6;2025-03-23;1900-01-01 13:43:00;NO;E;;;;;;E;;;;;;E;;;;;;E;;;;;;;823;823.0
ff2b1076-b503-4c22-a974-0519b26327cd;2025-03-23;1900-01-01 13:45:00;NO;E;;;;;;E;;;GG, MS;;;E;;;MS, SB;;;E;;;GG, SB;;;red;825;825.0
b3ac6acc-7356-4af0-95b9-47e0a3fa64a1;2025-03-23;1900-01-01 13:47:00;Yes;E;;;;;;E;;;GG, MS;;;E;;;MS, SB;;;E;;;GG, SB;;;green;827;827.0
2bbf895e-3308-43a3-974d-942734adcc0e;2025-03-23;1900-01-01 13:49:00;Yes;E;;;;;;E;;;GG, MS;;;E;;;MS, SB;;;E;;;GG, SB;;;green;829;829.0
c70d2ffa-9b67-4881-a3dd-dac571399763;2025-03-23;1900-01-01 13:51:00;Yes;E;;;;;;E;;;GG, MS;;;E;;;MS, SB;;;E;;;GG, SB;;;green;831;831.0
fac89851-08f1-4aed-9d3f-52981b02b702;2025-03-23;1900-01-01 13:53:00;Yes;E;;;;;;E;;;GG, MS;;;E;;;MS, SB;;;E;;;GG, SB;;;green;833;833.0
8fe0edc0-26bb-4639-8580-ba915a97c245;2025-03-23;1900-01-01 13:55:00;Yes;E;;;;;;E;;;GG, MS;;;E;;;MS, SB;;;E;;;GG, SB;;;green;835;835.0
eaf00e98-e88c-40db-8a73-d5537a0fd391;2025-03-23;1900-01-01 13:57:00;Yes;E;;;;;;E;;;GG, MS;;;E;;;MS, SB;;;E;;;GG, SB;;;green;837;837.0
2f8e294f-610e-46f1-b720-f17512c1eaa4;2025-03-23;1900-01-01 13:59:00;NO;RS;;;;;;RS;;;MS;;;RS;;;;;;RS;;;SB;;;;839;839.0
