ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,MS_Notes,Ind_2(ST),ST_Behavior,ST_Contact,ST_AR,ST_3M,ST_Notes,Ind_3(NH),NH_Behavior,NH_Contact,NH_AR,NH_3M,NH_Notes,Ind_4(LN),LN_Behavior,LN_Contact,LN_AR,LN_3M,LN_Notes,Ind_5(NR),NR_Behavior,NR_Contact,NR_AR,NR_3M,NR_Notes,Ind_6(MN),MN_Behavior,MN_Contact,MN_AR,MN_3M,MN_Notes,Ind_7(NY),NY_Behavior,NY_Contact,NY_AR,NY_3M,NY_Notes,condition,trial,first_day,phase,group,is_all_occasions,block_ID
b445b66c-d5be-4213-a185-f9b1adacffb9,24-03-2025,1900-01-01 14:08:00,848,847.0,MS,,,,,,ST,,,,,,NH,PL,,NR,,,LN,,,,,,NR,PL,,NH,,,MN,,,,,,NY,,,,,,Playback,2,False,enrich,2,False,enrich_2_trial2_sec_play
08e9142c-8e54-4ce6-a49b-8046567ab424,24-03-2025,1900-01-01 14:12:00,852,851.0,MS,,,,,,ST,,,,,,NH,PL,,NR,,,LN,,,,,,NR,PL,,NH,,,MN,,,,,,NY,,,,,,Playback,2,False,enrich,2,False,enrich_2_trial2_sec_play
f6a68a06-652d-473b-bd08-4c8d4ae64ae0,08-04-2025,1900-01-01 13:40:00,820,819.0,MS,,,,,,ST,DS,,,,St scream and display,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,3,True,enrich,1,False,enrich_1_trial3_first_cont
eb5879d6-a1cb-4427-b504-bf898f0b36fb,09-04-2025,1900-01-01 09:41:00,581,580.0,MS,,,,,,ST,,,,,,NH,DS,,,,Displayed few seconds before,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,3,False,morn1,1,False,morn1_1_trial3_sec_cont
eb5879d6-a1cb-4427-b504-bf898f0b36fb,09-04-2025,1900-01-01 09:42:00,582,582.0,MS,,,,,,ST,,,,,,NH,,,,,Displayed few seconds before,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,3,False,morn1,1,False,morn1_1_trial3_sec_cont
0ce95d64-9caa-4392-bd9a-ea5f9f9e9e1b,09-04-2025,1900-01-01 10:15:00,615,614.0,MS,,,,,,ST,DS,,,,Displayed 20 seconds ago,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,3,False,morn1,1,False,morn1_1_trial3_sec_cont
0ce95d64-9caa-4392-bd9a-ea5f9f9e9e1b,09-04-2025,1900-01-01 10:15:00,615,616.0,MS,,,,,,ST,DS,,,,Displayed 20 seconds ago,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,3,False,morn1,1,False,morn1_1_trial3_sec_cont
483f107a-e0b2-437f-8a16-7e5521a46444,09-04-2025,1900-01-01 10:18:00,618,618.0,MS,,,,,,ST,DS,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,3,False,morn1,1,False,morn1_1_trial3_sec_cont
483f107a-e0b2-437f-8a16-7e5521a46444,09-04-2025,1900-01-01 10:18:00,618,,MS,,,,,,ST,DS,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,3,False,,1,False,_1_trial3_sec_cont
324aa967-b85a-47d9-9ed9-eb3d4cb48b2d,09-04-2025,1900-01-01 11:30:00,690,689.0,MS,,,,,,ST,DS,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Crow,3,False,morn2,1,False,morn2_1_trial3_sec_cont
