ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,partner,dyad,distance
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,MN,NY-MN,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,NR,NY-NR,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,TK,NY-TK,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,LN,NY-LN,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,MN,NR-MN,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,NY,NR-NY,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,TK,NR-TK,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,LN,NR-LN,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,MN,TK-MN,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,NY,TK-NY,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,NR,TK-NR,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,LN,TK-LN,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,MN,LN-MN,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,NY,LN-NY,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,NR,LN-NR,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,TK,LN-TK,4
55eca3a1-dae1-4304-b140-83be6dcf9242,Playback,11-03-2025,599,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,SR,MN-SR,1
55eca3a1-dae1-4304-b140-83be6dcf9242,Playback,11-03-2025,599,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,MN,NY-MN,4
55eca3a1-dae1-4304-b140-83be6dcf9242,Playback,11-03-2025,599,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,NR,NY-NR,4
55eca3a1-dae1-4304-b140-83be6dcf9242,Playback,11-03-2025,599,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,TK,NY-TK,4
