ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
n9h,Crow,2025-05-04 00:00:00,869.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
h2y,Crow,2025-05-04 00:00:00,870.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
UNQ,Crow,2025-05-04 00:00:00,871.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nqm,Crow,2025-05-04 00:00:00,872.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J6z,Crow,2025-05-04 00:00:00,873.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
zeo,Crow,2025-05-04 00:00:00,874.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
qut,Crow,2025-05-04 00:00:00,660.0,2,True,6,morn2,True,morn2_2_trial6_first_cont,NY,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tbt,Crow,2025-05-04 00:00:00,699.0,2,True,6,morn2,True,morn2_2_trial6_first_cont,NY,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9ET,Crow,2025-05-04 00:00:00,704.0,2,True,6,morn2,True,morn2_2_trial6_first_cont,NY,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TTa,Crow,2025-05-04 00:00:00,876.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hHp,Crow,2025-05-04 00:00:00,894.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,SR,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
