ec5_uuid;created_at;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight
1d9ffcef-860d-411d-b6ef-f92cb77099ee;2025-03-24T01:11:21.000Z;10:10;NO;GR;TN;;SR;;RS;;;TK;;RS;;;TN, ST;;RS;;;NY;;GG;ST;;SR;;
74ae5897-2445-4d4a-a6e2-4ad1de2c6e51;2025-03-24T01:13:32.000Z;10:12;NO;E;TN;SR;;;RS;;;TK;;RS;;ST;TN;;RS;;;NY;;GG;ST;;SR;;red
2c92b0c3-40e4-4646-8d96-9f76ed80665c;2025-03-24T01:14:42.000Z;10:14;Yes;E;TN;SR;;;RS;;;TK;;RS;;ST;TN;;RS;;;NY;;GG;ST;;SR;;green
3bc8595e-c64a-40f2-9ff3-09f89bd03375;2025-03-24T01:17:33.000Z;10:16;NO;E;TN;NY;SR;;RS;;ST;SR, TN;;RS;;;TN, ST, NY;;RS;;;;;E;ST;;NY, SR;;
5bd111f3-3268-4d35-ad46-efe8a8652e4e;2025-03-24T01:19:22.000Z;10:18;NO;GR;TN;;SR;;M;;;;;RS;;;ST, TN;;RS;;;;;GG;ST;;SR;;
7a2741b9-db03-4052-ab68-0c7eed0a6b4b;2025-03-24T01:21:14.000Z;10:20;NO;RS;;TN;SR, NY;;RS;;;TN, ST;;RS;;;TN, ST;;RS;;;;;RS;;ST;SR, NY;;
5023eec5-4edb-436e-a5a7-d3a4d810982e;2025-03-24T01:23:26.000Z;10:22;NO;RS;;SR, TN;;;M;;;;;RS;;TN, ST;;;RS;;;;;RS;;ST, SR;;;
201bef42-105e-40d3-ae0c-7d7a31d71252;2025-03-24T01:25:31.000Z;10:24;NO;RS;;TN, SR;;;RS;;;;;RS;;TN, ST;;;RL;;;;;RS;;ST, SR;;;
2c613315-87eb-4e2a-9063-7aee9068d0f8;2025-03-24T01:27:18.000Z;10:26;NO;RS;;;SR;;M;;;;;RS;;;ST;;RL;;;;;RS;;;;;
46657d33-1c10-4530-8926-85a3fc837a24;2025-03-24T01:29:03.000Z;10:28;NO;RS;;;SR;;E;;;;;RS;;;ST;;RL;;;;;RS;;;;;red
